Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)",labor_productivity_per_hour_PennWorldTable_3.Productivity: output per hour worke,country-level-government-spending-vs-income (2).Government Expenditure (IMF base
Argentina,ARG,1990,14144.76367,9.34559,11.691373
Argentina,ARG,1991,15221.79199,10.72936,12.318349
Argentina,ARG,1992,16209.32617,12.5184765,13.69316
Argentina,ARG,1993,17312.03516,14.229115,14.39733
Argentina,ARG,1994,18092.02148,16.264364,15.41488
Argentina,ARG,1995,17362.52148,19.057482,16.0295
Argentina,ARG,1996,18104.69727,23.936634,15.63246
Argentina,ARG,1997,19347.53711,23.406992,27.54089
Argentina,ARG,1998,19866.24414,22.246105,28.48897
Argentina,ARG,1999,18981.16797,20.943682,31.87244
Argentina,ARG,2000,18625.2832,20.869158,32.26813
Argentina,ARG,2001,17610.75586,20.300793,34.40069
Argentina,ARG,2002,15523.03906,18.544622,55.7023
Argentina,ARG,2003,16714.66992,19.140049,38.04403
Argentina,ARG,2004,18032.61133,19.305756,40.17721
Argentina,ARG,2005,19426.43945,19.672619,37.19302
Argentina,ARG,2006,20777.65234,20.713331,35.85573
Argentina,ARG,2007,22424.11719,21.948978,38.14186
Argentina,ARG,2008,23103.45703,23.103422,37.77452
Argentina,ARG,2009,21519.89453,22.24469,41.74966
Argentina,ARG,2010,23521.26953,24.664722,42.00562
Argentina,ARG,2011,24647.62891,27.121876,43.26559
Australia,AUS,1990,31016.41602,34.717422,40.3990529
Australia,AUS,1991,30502.60547,35.753605,42.16800593
Australia,AUS,1992,30259.41797,37.43999,41.70493175
Australia,AUS,1993,31173.47461,38.279926,41.90938027
Australia,AUS,1994,32073.02734,38.63741,41.91699031
Australia,AUS,1995,32902.76953,39.189438,40.8874751
Australia,AUS,1996,33724.97266,41.00176,39.38242169
Australia,AUS,1997,34653.19141,42.7722,37.52386124
Australia,AUS,1998,35876.22266,43.82873,37.34401246
Australia,AUS,1999,37219.64063,45.23416,36.65006639
Australia,AUS,2000,38217.44922,45.415455,37.64208263
Australia,AUS,2001,38474.15234,47.16524,36.95777722
Australia,AUS,2002,39533.22266,47.55953,36.19652507
Australia,AUS,2003,40262.91406,48.647198,36.27667557
Australia,AUS,2004,41472.53906,49.612198,36.18753726
Australia,AUS,2005,42222.27344,51.532955,35.31631168
Australia,AUS,2006,42738.46484,51.622116,35.03793491
Australia,AUS,2007,44072.88281,51.45444,34.86655986
Australia,AUS,2008,44743.66016,52.85944,37.35211789
Australia,AUS,2009,44649.16016,53.129284,38.57650805
Australia,AUS,2010,44914.98047,56.738533,38.40038
Australia,AUS,2011,45389.17188,58.76907,36.743112
Austria,AUT,1990,37494.55859,31.620522,54.92958
Austria,AUT,1991,38399.67578,32.5917,56.21576
Austria,AUT,1992,38774.49219,34.509747,57.11526
Austria,AUT,1993,38658.64844,35.524967,60.31203
Austria,AUT,1994,39435.21094,37.20332,59.79424
Austria,AUT,1995,40425.39453,39.36852,60.39174
Austria,AUT,1996,41319.375,39.323376,59.87065
Austria,AUT,1997,42136.66406,40.81398,57.20946
Austria,AUT,1998,43597.89063,42.53225,57.41596
Austria,AUT,1999,45060.61719,43.386806,56.91652
Austria,AUT,2000,46469.85938,45.390182,55.54919
Austria,AUT,2001,46878.91797,44.377754,54.80785
Austria,AUT,2002,47419.27734,45.44068,54.00186
Austria,AUT,2003,47633.11328,46.49087,54.40004
Austria,AUT,2004,48633.27344,48.04215,56.71067
Austria,AUT,2005,49387.02734,52.797462,52.96992
Austria,AUT,2006,50840.69531,53.47992,52.00873
Austria,AUT,2007,52565.07422,54.648876,51.47672
Austria,AUT,2008,53166.05469,55.810387,51.99422
Austria,AUT,2009,51030.72656,54.958294,55.69787
Austria,AUT,2010,51843.42969,56.444805,55.17099
Austria,AUT,2011,53179.14844,57.740795,52.71051
Bangladesh,BGD,1990,1517.729248,2.0360405,13.1601594
Bangladesh,BGD,1991,1534.525146,2.0363715,13.03677859
Bangladesh,BGD,1992,1582.313599,2.0315714,12.902535
Bangladesh,BGD,1993,1621.326904,2.0196857,14.16165814
Bangladesh,BGD,1994,1648.734009,2.047829,14.53441822
Bangladesh,BGD,1995,1696.567871,2.0752869,15.17462224
Bangladesh,BGD,1996,1735.921997,2.0698934,14.43332291
Bangladesh,BGD,1997,1775.964111,2.005104,14.47574533
Bangladesh,BGD,1998,1829.503784,1.9297974,14.49960685
Bangladesh,BGD,1999,1876.598999,1.8166075,13.05904763
Bangladesh,BGD,2000,1937.729248,1.8243959,14.82365272
Bangladesh,BGD,2001,1998.066284,1.8358469,16.39801314
Bangladesh,BGD,2002,2037.236328,1.8910693,16.07581012
Bangladesh,BGD,2003,2097.168701,1.9046307,15.97544215
Bangladesh,BGD,2004,2171.688721,1.9024031,15.26783995
Bangladesh,BGD,2005,2279.53125,1.9349834,15.83002209
Bangladesh,BGD,2006,2399.082275,2.0549672,15.88033904
Bangladesh,BGD,2007,2537.111084,2.224288,15.32731018
Bangladesh,BGD,2008,2659.049316,2.424032,18.39041417
Bangladesh,BGD,2009,2762.18042,2.5682456,17.02778433
Bangladesh,BGD,2010,2883.466797,2.787817,16.71956462
Bangladesh,BGD,2011,3034.951172,3.2355232,17.99112519
Belgium,BEL,1990,35506.92578,40.869923,63.9857
Belgium,BEL,1991,36023.68359,42.31519,64.7183
Belgium,BEL,1992,36426.99219,44.594162,64.6525
Belgium,BEL,1993,35935.95703,46.442467,65.6678
Belgium,BEL,1994,36981.44922,47.816906,61.78788
Belgium,BEL,1995,37784.14844,48.26082,60.97062
Belgium,BEL,1996,38208.71875,48.773266,60.87253
Belgium,BEL,1997,39562.37109,50.29988,58.85165
Belgium,BEL,1998,40252.46875,49.44472,57.7108
Belgium,BEL,1999,41583.09766,51.10491,56.95496
Belgium,BEL,2000,43024.14063,52.970646,55.69435
Belgium,BEL,2001,43347.89063,52.792484,55.59895
Belgium,BEL,2002,43890.59766,53.71766,55.52733
Belgium,BEL,2003,44160.91016,55.915703,56.36905
Belgium,BEL,2004,45540.46875,57.090435,54.12447
