"Code";"Country_name";"Year";"Fixed_telephone_subscriptions";"Fixed_broadband_subscriptions";"Mobile_cellular_subscriptions";"Number_of_Internet_users"
"ABW";"Aruba";"2020";35000.0;19000.0;141000.0;0.0
"AFG";"Afghanistan";"2020";145787.0;26570.0;22678000.0;7170890.0
"AGO";"Angola";"2020";119164.0;230610.0;14645000.0;12034300.0
"ALB";"Albania";"2020";223469.0;508937.0;2618880.0;2071010.0
"AND";"Andorra";"2020";40000.0;37000.0;94000.0;0.0
"ARE";"United Arab Emirates";"2020";2380870.0;3245120.0;18374300.0;9287290.0
"ARG";"Argentina";"2020";7356160.0;9571560.0;54763900.0;38505800.0
"ARM";"Armenia";"2020";427539.0;430407.0;3488800.0;2146570.0
"ASM";"American Samoa";"2020";10000.0;0.0;0.0;0.0
"ATG";"Antigua and Barbuda";"2020";27000.0;8000.0;184000.0;0.0
"AUS";"Australia";"2020";6200000.0;9099620.0;27453000.0;23000400.0
"AUT";"Austria";"2020";3786720.0;2606000.0;10717400.0;7796930.0
"AZE";"Azerbaijan";"2020";1652690.0;1995470.0;10344300.0;8701070.0
"BDI";"Burundi";"2020";18300.0;4230.0;6631150.0;1148700.0
"BEL";"Belgium";"2020";3634640.0;4734210.0;11529700.0;10582000.0
"BEN";"Benin";"2020";32386.0;29981.0;11140900.0;3261920.0
"BFA";"Burkina Faso";"2020";75039.0;13979.0;22117200.0;4734980.0
"BGD";"Bangladesh";"2020";1390050.0;10052800.0;176279000.0;41520400.0
"BGR";"Bulgaria";"2020";872757.0;2115050.0;7945740.0;4896590.0
"BHR";"Bahrain";"2020";274106.0;148928.0;1748670.0;1472600.0
"BHS";"Bahamas";"2020";91000.0;83000.0;466000.0;353636.0
"BIH";"Bosnia and Herzegovina";"2020";706135.0;770424.0;3509670.0;2429410.0
"BLR";"Belarus";"2020";4406560.0;3255550.0;11704100.0;8197350.0
"BLZ";"Belize";"2020";19000.0;36000.0;264000.0;0.0
"BMU";"Bermuda";"2020";25000.0;23000.0;68000.0;0.0
"BOL";"Bolivia";"2020";598082.0;931918.0;11804300.0;7154550.0
"BRA";"Brazil";"2020";30653800.0;36344700.0;205835000.0;173420000.0
"BRB";"Barbados";"2020";128000.0;128000.0;295000.0;0.0
"BRN";"Brunei";"2020";103885.0;71078.0;536589.0;419649.0
"BTN";"Bhutan";"2020";22987.0;3189.0;745137.0;413294.0
"BWA";"Botswana";"2020";140003.0;259525.0;3829410.0;1629700.0
"CAF";"Central African Republic";"2020";2000.0;0.0;1831000.0;555674.0
"CAN";"Canada";"2020";13340000.0;15825800.0;32360000.0;36740700.0
"CHE";"Switzerland";"2020";3071300.0;4028240.0;11017900.0;8137570.0
"CHL";"Chile";"2020";2567940.0;3763830.0;25068200.0;17042200.0
"CHN";"China";"2020";181908000.0;483550000.0;1718410000.0;1003220000.0
"CIV";"Cote d'Ivoire";"2020";264073.0;260097.0;40095200.0;0.0
"CMR";"Cameroon";"2020";964378.0;722579.0;22350300.0;10013600.0
"COD";"Democratic Republic of Congo";"2020";0.0;31000.0;40798400.0;12628000.0
"COG";"Congo";"2020";17000.0;1000.0;4890000.0;0.0
"COL";"Colombia";"2020";7248030.0;7764770.0;67672600.0;35544500.0
"COM";"Comoros";"2020";7573.0;1066.0;781579.0;0.0
"CPV";"Cape Verde";"2020";57668.0;24839.0;544729.0;375807.0
"CRI";"Costa Rica";"2020";559882.0;992725.0;7512370.0;4125650.0
"CUB";"Cuba";"2020";1502230.0;231654.0;6661760.0;8362510.0
"CUW";"Curacao";"2020";54000.0;55000.0;182000.0;0.0
"CYM";"Cayman Islands";"2020";36000.0;32000.0;100000.0;0.0
"CYP";"Cyprus";"2020";311439.0;332080.0;1239960.0;1123710.0
"CZE";"Czechia";"2020";1335220.0;3845430.0;12999800.0;8565760.0
"DEU";"Germany";"2020";38300000.0;36215300.0;107400000.0;74840200.0
"DJI";"Djibouti";"2020";38866.0;25053.0;434035.0;643196.0
"DMA";"Dominica";"2020";1000.0;16000.0;76000.0;0.0
"DNK";"Denmark";"2020";734436.0;2590280.0;7252680.0;5624600.0
"DOM";"Dominican Republic";"2020";1155490.0;1031860.0;8989590.0;8458740.0
"DZA";"Algeria";"2020";4784310.0;3790460.0;45555700.0;27331100.0
"ECU";"Ecuador";"2020";2063040.0;2371300.0;15485400.0;11362200.0
"EGY";"Egypt";"2020";9858330.0;9349470.0;95357400.0;77282700.0
"ERI";"Eritrea";"2020";66000.0;5000.0;1801000.0;0.0
"ESP";"Spain";"2020";19455700.0;16188500.0;55647700.0;44145700.0
"EST";"Estonia";"2020";304728.0;415610.0;1925790.0;1183980.0
"ETH";"Ethiopia";"2020";1252000.0;212000.0;44500000.0;28125800.0
"FIN";"Finland";"2020";225000.0;1846000.0;7120000.0;5096510.0
"FJI";"Fiji";"2020";48510.0;23062.0;991500.0;0.0
"FRA";"France";"2020";37759000.0;30627000.0;72751000.0;54679100.0
"FRO";"Faeroe Islands";"2020";15341.0;18443.0;59213.0;0.0
"FSM";"Micronesia (country)";"2020";7000.0;6000.0;22000.0;0.0
