"Code";"Country_name";"Internet_users";"min_internet_users_year";"Urban_population";"Electricity_access_urban";"GDP"
"SSD";"South Sudan";2.200000048;"2013";18.41500092;11.08439732;0.0
"TLS";"Timor";0.099031769;"2005";26.04100037;77.57917023;2271.54
"MNE";"Montenegro";25.35006905;"2004";62.1269989;100.0;13505.0
"SRB";"Serbia";23.5;"2004";53.6609993;100.0;11599.7
"AFG";"Afghanistan";0.004561395;"2002";22.26099968;75.0632782;1904.56
"IRQ";"Iraq";0.100000001;"2001";68.55000305;99.35404968;9089.71
"BTN";"Bhutan";0.137571514;"1999";24.38299942;0.0;4018.93
"LBY";"Libya";0.133617282;"1999";76.28399658;0.0;16403.0
"MMR";"Myanmar";0.000151709;"1999";26.84300041;0.0;853.82
"TJK";"Tajikistan";0.032791857;"1999";26.76000023;99.92062378;1242.42
"TKM";"Turkmenistan";0.04502077;"1999";45.68899918;0.0;4431.46
"COG";"Congo";0.003415143;"1998";57.76599884;0.0;4448.41
"COM";"Comoros";0.03787097;"1998";28.16799927;60.81581497;2639.3
"ERI";"Eritrea";0.008774236;"1998";24.90299988;79.5958786;0.0
"KGZ";"Kyrgyzstan";0.072808333;"1998";35.50400162;99.7698288;2893.42
"LAO";"Laos";0.009657814;"1998";20.03899956;95.90248871;2608.04
"LBR";"Liberia";0.004099387;"1998";43.64599991;0.0;0.0
"STP";"Sao Tome and Principe";0.295847058;"1998";51.50899887;0.0;0.0
"BGD";"Bangladesh";0.000751046;"1997";22.43799973;79.5;1775.96
"CMR";"Cameroon";0.006768744;"1997";43.75500107;74.48986053;3224.76
"CPV";"Cape Verde";0.240967914;"1997";50.63700104;0.0;6185.76
"GAB";"Gabon";0.047999009;"1997";76.48999786;0.0;19284.5
"GNB";"Guinea-Bissau";0.016389063;"1997";35.11399841;0.0;2386.3
"GNQ";"Equatorial Guinea";0.041462291;"1997";43.89300156;0.0;6868.49
"KHM";"Cambodia";0.005844911;"1997";18.05999947;0.0;1481.66
"MRT";"Mauritania";0.004172527;"1997";38.45899963;0.0;4511.68
"MWI";"Malawi";0.004668518;"1997";14.00199986;23.56936455;1125.82
"OMN";"Oman";0.439792812;"1997";71.6289978;100.0;35508.2
"SDN";"Sudan";0.001231819;"1997";32.3370018;65.46469879;3714.86
"SYR";"Syria";0.032607812;"1997";50.8409996;0.0;0.0
"TCD";"Chad";0.000658168;"1997";21.53800011;9.399999619;1007.06
"AGO";"Angola";0.000775929;"1996";45.34600067;0.0;6681.1
"BDI";"Burundi";0.000803592;"1996";7.412000179;0.0;870.04
"BEN";"Benin";0.0016931;"1996";37.07099915;34.40000153;2277.76
"BFA";"Burkina Faso";0.000960519;"1996";15.40699959;35.81386566;1162.45
"BIH";"Bosnia and Herzegovina";0.015125563;"1996";41.13000107;100.0;9002.92
"CAF";"Central African Republic";0.005849503;"1996";37.31200027;9.161859512;1027.65
"COD";"Democratic Republic of Congo";0.000108207;"1996";33.28900146;0.0;1000.69
"GUY";"Guyana";0.065854117;"1996";29.04800034;86.6098938;7198.83
"HTI";"Haiti";0.007484253;"1996";33.20000076;68.83561707;2905.31
"LSO";"Lesotho";0.00284594;"1996";17.57099915;0.0;1611.65
"LTU";"Lithuania";0.277421296;"1996";67.22499847;100.0;11274.6
"LVA";"Latvia";0.81271708;"1996";68.65000153;100.0;9960.89
"MDG";"Madagascar";0.003695196;"1996";26.05800056;43.45197678;1553.58
"MDV";"Maldives";0.226930097;"1996";26.00799942;0.0;11208.4
"MLI";"Mali";0.002055228;"1996";25.97500038;21.5;1520.46
"MOZ";"Mozambique";0.003042979;"1996";28.01300049;0.0;506.15
"MUS";"Mauritius";0.183769152;"1996";43.1609993;100.0;9998.62
"NER";"Niger";0.001039305;"1996";15.85499954;35.42699432;977.2
"NGA";"Nigeria";0.00883298;"1996";32.72499847;84.03647614;2949.2
"PNG";"Papua New Guinea";0.002067023;"1996";13.90100002;63.09999847;3440.33
"PRY";"Paraguay";0.020359611;"1996";52.77399826;97.16147614;9243.47
"RWA";"Rwanda";0.000883372;"1996";11.3739996;24.99846268;816.76
"SLE";"Sierra Leone";0.002506116;"1996";34.66699982;0.0;1122.7
"SLV";"El Salvador";0.086389579;"1996";55.26800156;95.23339081;6222.21
"SOM";"Somalia";0.00150955;"1996";31.78499985;0.0;0.0
"SYC";"Seychelles";0.651474297;"1996";49.75799942;99.00034332;16065.4
"TGO";"Togo";0.010929139;"1996";31.13899994;0.0;1694.65
"TZA";"Tanzania";0.001622155;"1996";20.88800049;35.5;1317.56
"VNM";"Vietnam";0.000134813;"1996";22.56299973;0.0;2425.53
"VUT";"Vanuatu";0.056845635;"1996";20.4640007;74.9603653;2929.46
"YEM";"Yemen";0.000621081;"1996";24.24900055;91.89096832;0.0
"ALB";"Albania";0.011168695;"1995";38.9109993;100.0;6753.89
"ARE";"United Arab Emirates";0.102939174;"1995";78.31900024;100.0;101571.0
"BHR";"Bahrain";0.346205831;"1995";88.38800049;100.0;47157.2
"BOL";"Bolivia";0.066807568;"1995";59.15000153;94.36116028;5050.31
"BRB";"Barbados";0.007752238;"1995";35.56600189;100.0;13042.6
"BWA";"Botswana";0.064521044;"1995";48.98099899;26.23495674;9232.01
"CIV";"Cote d'Ivoire";0.000200256;"1995";41.20999908;78.37639618;3760.72
"CUB";"Cuba";9.17e-05;"1995";74.27700043;0.0;0.0
"DJI";"Djibouti";0.016030829;"1995";76.30000305;0.0;0.0
"DOM";"Dominican Republic";0.017233601;"1995";57.59799957;95.99797058;7396.84
"ETH";"Ethiopia";1.75e-05;"1995";13.82699966;0.0;676.59
"GEO";"Georgia";0.011836885;"1995";53.8409996;0.0;3243.85
"GHA";"Ghana";0.000347918;"1995";40.13999939;75.33365631;2574.84
"GMB";"Gambia";0.009217541;"1995";43.36199951;41.99856186;2127.87
"GTM";"Guatemala";0.002998005;"1995";43.65399933;88.90000153;6033.04
"HND";"Honduras";0.036775254;"1995";42.94100189;93.26425171;4024.99
"JOR";"Jordan";0.02323392;"1995";78.20700073;99.62265015;8333.85
"KEN";"Kenya";0.000727482;"1995";18.26300049;41.0309639;3300.01
"LBN";"Lebanon";0.071617991;"1995";84.81999969;0.0;13309.0
"MAR";"Morocco";0.003710492;"1995";51.69200134;90.59999847;3820.33
"MKD";"North Macedonia";0.040743839;"1995";59.5870018;100.0;9025.29
"MLT";"Malta";0.224995703;"1995";90.94599915;100.0;19737.1
"MNG";"Mongolia";0.008811225;"1995";56.80500031;0.0;4123.94
"NAM";"Namibia";0.006172051;"1995";29.81299973;70.87373352;6312.56
"NPL";"Nepal";0.000924878;"1995";10.88300037;0.0;1824.0
"PAK";"Pakistan";0.000122702;"1995";31.83600044;0.0;3179.51
"QAT";"Qatar";0.190209538;"1995";94.9980011;100.0;0.0
"SAU";"Saudi Arabia";0.010956134;"1995";78.66999817;100.0;42855.8
"SEN";"Senegal";0.000692848;"1995";39.60599899;66.88915253;2380.25
"SLB";"Solomon Islands";0.02487191;"1995";14.66399956;0.0;2975.28
"SUR";"Suriname";0.114720732;"1995";66.0759964;0.0;12668.8
"SWZ";"Eswatini";0.00103175;"1995";22.2859993;0.0;5258.97
"TTO";"Trinidad and Tobago";0.158149898;"1995";55.04000092;0.0;11898.8
"UGA";"Uganda";0.002863471;"1995";12.84599972;40.20000076;1090.04
"UZB";"Uzbekistan";0.001527093;"1995";43.73099899;0.0;2656.63
"ARM";"Armenia";0.009117014;"1994";66.33200073;0.0;4048.25
"AZE";"Azerbaijan";0.001431415;"1994";52.51499939;0.0;5610.76
"BLR";"Belarus";0.000485951;"1994";67.54100037;100.0;6698.46
"COL";"Colombia";0.107173942;"1994";71.32800293;98.99259186;9100.98
"DZA";"Algeria";0.000360674;"1994";55.21900177;0.0;7792.07
"GIN";"Guinea";0.000138318;"1994";29.18199921;0.0;1565.27
"IDN";"Indonesia";0.001059744;"1994";34.93299866;94.59999847;5529.23
"IRN";"Iran";0.000408332;"1994";59.38000107;0.0;9239.98
"JAM";"Jamaica";0.036817104;"1994";50.375;87.85358429;9826.21
"KAZ";"Kazakhstan";0.000521079;"1994";55.90000153;0.0;9126.26
"LKA";"Sri Lanka";0.002765448;"1994";18.47299957;0.0;4577.86
"MDA";"Moldova";0.000825391;"1994";46.38700104;100.0;0.0
"NIC";"Nicaragua";0.013166228;"1994";54.18299866;91.52127838;3261.17
"PAN";"Panama";0.007636899;"1994";57.30099869;96.3216629;12679.5
"PER";"Peru";0.008504578;"1994";70.52100372;91.5978241;5837.09
"PHL";"Philippines";0.005844253;"1994";46.64500046;87.29000092;4074.73
"TUN";"Tunisia";0.007379544;"1994";61.07799911;99.87078857;6291.25
"URY";"Uruguay";0.062474385;"1994";90.24500275;99.02806091;13230.0
"ZMB";"Zambia";0.006776105;"1994";37.5719986;38.81738281;1902.39
"ZWE";"Zimbabwe";0.00173928;"1994";31.33499908;80.40000153;4090.8
"BGR";"Bulgaria";0.002339042;"1993";67.33000183;100.0;10848.4
"CHN";"China";0.00016868;"1993";29.10300064;0.0;1949.53
"CZE";"Czechia";0.581319511;"1993";74.90100098;100.0;20760.1
"EGY";"Egypt";0.000975791;"1993";43.07899857;99.05046844;6203.07
"FJI";"Fiji";0.006678447;"1993";43.93299866;0.0;8599.26
"HRV";"Croatia";0.097213387;"1993";51.81800079;100.0;0.0
"KWT";"Kuwait";0.091082245;"1993";98.01599884;100.0;0.0
"ROU";"Romania";0.003703214;"1993";54.07400131;100.0;10936.7
"SVK";"Slovakia";0.127829239;"1993";56.6590004;100.0;11872.3
"SVN";"Slovenia";0.409792393;"1993";50.56900024;100.0;0.0
"TUR";"Turkey";0.008457732;"1993";61.05500031;0.0;13689.7
"UKR";"Ukraine";0.00077697;"1993";66.87400055;100.0;11531.3
"ARG";"Argentina";0.002992874;"1992";87.54199982;94.68669891;16209.3
"CHL";"Chile";0.036548939;"1992";83.56400299;99.10753632;11421.0
"CRI";"Costa Rica";0.001113325;"1992";51.83200073;0.0;10528.3
"CYP";"Cyprus";0.050060429;"1992";67.59799957;100.0;26385.9
"ECU";"Ecuador";0.005118035;"1992";56.22600174;0.0;8432.62
"EST";"Estonia";0.065484799;"1992";70.86000061;100.0;0.0
"GRC";"Greece";0.048291601;"1992";71.75700378;100.0;24700.2
"IND";"India";0.000111308;"1992";25.98399925;0.0;1856.17
"LUX";"Luxembourg";0.153198794;"1992";81.52799988;100.0;76323.3
"MYS";"Malaysia";0.001047822;"1992";51.81399918;0.0;11663.6
"NZL";"New Zealand";0.285941243;"1992";85.10299683;100.0;26479.0
"RUS";"Russia";0.000672532;"1992";73.38500214;100.0;17367.6
"VEN";"Venezuela";0.012082134;"1992";85.01200104;99.94082642;0.0
"BRA";"Brazil";0.003288171;"1991";74.69000244;98.21937561;10444.0
"HKG";"Hong Kong";0.120955445;"1991";99.83200073;100.0;30189.2
"HUN";"Hungary";0.00338263;"1991";65.71299744;100.0;16432.1
"IRL";"Ireland";0.056796044;"1991";57.07300186;100.0;26792.9
"ISL";"Iceland";0.50512898;"1991";90.93199921;100.0;0.0
"MEX";"Mexico";0.005880695;"1991";71.81600189;0.0;15293.2
"POL";"Poland";0.005229468;"1991";61.31499863;100.0;10483.9
"PRT";"Portugal";0.100230567;"1991";48.46900177;100.0;24642.6
"SGP";"Singapore";0.161504492;"1991";100.0;100.0;38794.9
"THA";"Thailand";5.22e-05;"1991";29.59300041;0.0;7619.04
"ZAF";"South Africa";0.013283591;"1991";52.55400085;0.0;10874.8
"AUS";"Australia";0.58509469;"1990";85.43299866;100.0;31016.4
"AUT";"Austria";0.13036938;"1990";62.95999908;100.0;37494.6
"BEL";"Belgium";0.00100674;"1990";96.3769989;100.0;35506.9
"CAN";"Canada";0.360999703;"1990";76.58200073;100.0;0.0
"CHE";"Switzerland";0.595714211;"1990";73.9260025;100.0;56329.2
"DEU";"Germany";0.125892222;"1990";73.11799622;100.0;36699.5
"DNK";"Denmark";0.097277269;"1990";84.84300232;100.0;39028.0
"ESP";"Spain";0.012873564;"1990";75.35099792;100.0;27543.9
"FIN";"Finland";0.401087672;"1990";79.36699677;100.0;32939.4
"FRA";"France";0.05277786;"1990";74.05599976;100.0;33732.0
"GBR";"United Kingdom";0.087355316;"1990";78.13999939;100.0;31217.2
"ISR";"Israel";0.110773869;"1990";90.35900116;100.0;0.0
"ITA";"Italy";0.017544562;"1990";66.72599792;100.0;36585.7
"JPN";"Japan";0.020293683;"1990";77.33899689;100.0;32946.0
"KOR";"South Korea";0.023265092;"1990";73.84400177;99.89510345;12656.4
"NLD";"Netherlands";0.334386945;"1990";68.68399811;100.0;36461.4
"NOR";"Norway";0.707299471;"1990";71.95600128;100.0;42136.6
"SWE";"Sweden";0.584192038;"1990";83.09999847;100.0;34156.8
"USA";"United States";0.784728527;"1990";75.30000305;100.0;40436.9
