"Code";"Country_name";"Internet_arrival_year"
"ABW";"Aruba";"1996"
"AFG";"Afghanistan";"2001"
"AGO";"Angola";"1996"
"ALB";"Albania";"1995"
"AND";"Andorra";"1996"
"ARE";"United Arab Emirates";"1995"
"ARG";"Argentina";"1992"
"ARM";"Armenia";"1994"
"ASM";"American Samoa";"1999"
"ATG";"Antigua and Barbuda";"1995"
"AUS";"Australia";"1990"
"AUT";"Austria";"1990"
"AZE";"Azerbaijan";"1994"
"BDI";"Burundi";"1996"
"BEL";"Belgium";"1990"
"BEN";"Benin";"1996"
"BFA";"Burkina Faso";"1996"
"BGD";"Bangladesh";"1997"
"BGR";"Bulgaria";"1993"
"BHR";"Bahrain";"1995"
"BHS";"Bahamas";"1995"
"BIH";"Bosnia and Herzegovina";"1996"
"BLR";"Belarus";"1994"
"BLZ";"Belize";"1995"
"BMU";"Bermuda";"1995"
"BOL";"Bolivia";"1995"
"BRA";"Brazil";"1991"
"BRB";"Barbados";"1995"
"BRN";"Brunei";"1995"
"BTN";"Bhutan";"1999"
"BWA";"Botswana";"1995"
"CAF";"Central African Republic";"1996"
"CAN";"Canada";"1990"
"CHE";"Switzerland";"1990"
"CHL";"Chile";"1992"
"CHN";"China";"1993"
"CIV";"Cote d'Ivoire";"1995"
"CMR";"Cameroon";"1997"
"COD";"Democratic Republic of Congo";"1996"
"COG";"Congo";"1996"
"COL";"Colombia";"1994"
"COM";"Comoros";"1998"
"CPV";"Cape Verde";"1997"
"CRI";"Costa Rica";"1992"
"CUB";"Cuba";"1995"
"CUW";"Curacao";"2016"
"CYM";"Cayman Islands";"1995"
"CYP";"Cyprus";"1992"
"CZE";"Czechia";"1993"
"DEU";"Germany";"1990"
"DJI";"Djibouti";"1995"
"DMA";"Dominica";"1995"
"DNK";"Denmark";"1990"
"DOM";"Dominican Republic";"1995"
"DZA";"Algeria";"1994"
"ECU";"Ecuador";"1992"
"EGY";"Egypt";"1993"
"ERI";"Eritrea";"1997"
"ESP";"Spain";"1990"
"EST";"Estonia";"1992"
"ETH";"Ethiopia";"1995"
"FIN";"Finland";"1990"
"FJI";"Fiji";"1993"
"FRA";"France";"1990"
"FRO";"Faeroe Islands";"1996"
"FSM";"Micronesia (country)";"1996"
"GAB";"Gabon";"1997"
"GBR";"United Kingdom";"1990"
"GEO";"Georgia";"1995"
"GHA";"Ghana";"1995"
"GIB";"Gibraltar";"1997"
"GIN";"Guinea";"1994"
"GMB";"Gambia";"1995"
"GNB";"Guinea-Bissau";"1997"
"GNQ";"Equatorial Guinea";"1997"
"GRC";"Greece";"1991"
"GRD";"Grenada";"1996"
"GRL";"Greenland";"1994"
"GTM";"Guatemala";"1995"
"GUM";"Guam";"1994"
"GUY";"Guyana";"1996"
"HKG";"Hong Kong";"1991"
"HND";"Honduras";"1995"
"HRV";"Croatia";"1993"
"HTI";"Haiti";"1996"
"HUN";"Hungary";"1991"
"IDN";"Indonesia";"1994"
"IND";"India";"1992"
"IRL";"Ireland";"1991"
"IRN";"Iran";"1994"
"IRQ";"Iraq";"2001"
"ISL";"Iceland";"1991"
"ISR";"Israel";"1990"
"ITA";"Italy";"1990"
"JAM";"Jamaica";"1994"
"JOR";"Jordan";"1995"
"JPN";"Japan";"1990"
"KAZ";"Kazakhstan";"1994"
"KEN";"Kenya";"1995"
"KGZ";"Kyrgyzstan";"1998"
"KHM";"Cambodia";"1997"
"KIR";"Kiribati";"1998"
"KNA";"Saint Kitts and Nevis";"1996"
"KOR";"South Korea";"1990"
"KWT";"Kuwait";"1993"
"LAO";"Laos";"1998"
"LBN";"Lebanon";"1995"
"LBR";"Liberia";"1997"
"LBY";"Libya";"1999"
"LCA";"Saint Lucia";"1995"
"LIE";"Liechtenstein";"2000"
"LKA";"Sri Lanka";"1994"
"LSO";"Lesotho";"1996"
"LTU";"Lithuania";"1996"
"LUX";"Luxembourg";"1992"
"LVA";"Latvia";"1996"
"MAC";"Macao";"1994"
"MAR";"Morocco";"1995"
"MCO";"Monaco";"2000"
"MDA";"Moldova";"1994"
"MDG";"Madagascar";"1996"
"MDV";"Maldives";"1996"
"MEX";"Mexico";"1991"
"MHL";"Marshall Islands";"1996"
"MKD";"North Macedonia";"1995"
"MLI";"Mali";"1996"
"MLT";"Malta";"1995"
"MMR";"Myanmar";"1999"
"MNE";"Montenegro";"2004"
"MNG";"Mongolia";"1995"
"MNP";"Northern Mariana Islands";"1999"
"MOZ";"Mozambique";"1996"
"MRT";"Mauritania";"1997"
"MUS";"Mauritius";"1996"
"MWI";"Malawi";"1997"
"MYS";"Malaysia";"1992"
"NAM";"Namibia";"1995"
"NCL";"New Caledonia";"1995"
"NER";"Niger";"1996"
"NGA";"Nigeria";"1996"
"NIC";"Nicaragua";"1994"
"NLD";"Netherlands";"1990"
"NOR";"Norway";"1990"
"NPL";"Nepal";"1995"
"NRU";"Nauru";"2001"
"NZL";"New Zealand";"1992"
"OMN";"Oman";"1997"
"OWID_KOS";"Kosovo";"2017"
"PAK";"Pakistan";"1995"
"PAN";"Panama";"1994"
"PER";"Peru";"1994"
"PHL";"Philippines";"1994"
"PLW";"Palau";"2002"
"PNG";"Papua New Guinea";"1996"
"POL";"Poland";"1991"
"PRI";"Puerto Rico";"1994"
"PRK";"North Korea";"1982"
"PRT";"Portugal";"1991"
"PRY";"Paraguay";"1996"
"PSE";"Palestine";"2008"
"PYF";"French Polynesia";"1996"
"QAT";"Qatar";"1995"
