"Code";"Country_name";"Year";"Mobile_cellular_subscriptions";"Landline_phone_subscriptions";"Landline_internet_subscriptions"
"ABW";"Aruba";"2003";69952.0;37390.0;1399.0
"ABW";"Aruba";"2004";98389.0;38003.0;6963.0
"ABW";"Aruba";"2005";103417.0;38259.0;12274.0
"ABW";"Aruba";"2006";109030.0;38651.0;13953.0
"ABW";"Aruba";"2007";113586.0;38609.0;15996.0
"ABW";"Aruba";"2008";120806.0;38461.0;18396.0
"ABW";"Aruba";"2009";128000.0;36700.0;18800.0
"ABW";"Aruba";"2010";131800.0;35040.0;19217.0
"ABW";"Aruba";"2013";138800.0;35000.0;19200.0
"ABW";"Aruba";"2014";139700.0;35000.0;19200.0
"ABW";"Aruba";"2015";141000.0;35000.0;19000.0
"ABW";"Aruba";"2019";141000.0;35000.0;19000.0
"ABW";"Aruba";"2020";141000.0;35000.0;19000.0
"AFG";"Afghanistan";"2009";10500000.0;5130.0;1000.0
"AFG";"Afghanistan";"2010";10215800.0;16620.0;1500.0
"AFG";"Afghanistan";"2012";15340100.0;90017.0;1500.0
"AFG";"Afghanistan";"2013";16807200.0;95769.0;1500.0
"AFG";"Afghanistan";"2014";18407200.0;101931.0;1500.0
"AFG";"Afghanistan";"2015";19709000.0;110000.0;7067.0
"AFG";"Afghanistan";"2016";21603000.0;114192.0;8801.0
"AFG";"Afghanistan";"2017";23929700.0;118769.0;9182.0
"AFG";"Afghanistan";"2018";21976400.0;127794.0;15999.0
"AFG";"Afghanistan";"2019";22580100.0;134636.0;19683.0
"AFG";"Afghanistan";"2020";22678000.0;145787.0;26570.0
"AGO";"Angola";"2006";3054620.0;98165.0;7458.0
"AGO";"Angola";"2007";4961540.0;94294.0;11700.0
"AGO";"Angola";"2008";6773360.0;114296.0;15942.0
"AGO";"Angola";"2009";8109420.0;303179.0;15000.0
"AGO";"Angola";"2010";9403360.0;281122.0;15000.0
"AGO";"Angola";"2011";12073200.0;159485.0;15817.0
"AGO";"Angola";"2012";12785100.0;208345.0;20512.0
"AGO";"Angola";"2013";13285200.0;214950.0;22282.0
"AGO";"Angola";"2014";14052600.0;287416.0;87750.0
"AGO";"Angola";"2015";13884500.0;284925.0;153571.0
"AGO";"Angola";"2016";13001100.0;304493.0;84724.0
"AGO";"Angola";"2017";13324000.0;161070.0;96919.0
"AGO";"Angola";"2018";13288400.0;171858.0;109561.0
"AGO";"Angola";"2019";14830200.0;124726.0;119068.0
"AGO";"Angola";"2020";14645000.0;119164.0;230610.0
"ALB";"Albania";"2005";1530240.0;278973.0;272.0
"ALB";"Albania";"2006";1909880.0;256000.0;272.0
"ALB";"Albania";"2007";2322440.0;300000.0;10000.0
"ALB";"Albania";"2008";1859630.0;343591.0;64000.0
"ALB";"Albania";"2009";2463740.0;363000.0;92000.0
"ALB";"Albania";"2010";2692370.0;333066.0;105539.0
"ALB";"Albania";"2011";3100000.0;338844.0;128210.0
"ALB";"Albania";"2012";3500000.0;312000.0;160088.0
"ALB";"Albania";"2013";3685980.0;281200.0;182556.0
"ALB";"Albania";"2014";3359650.0;235734.0;207964.0
"ALB";"Albania";"2015";3400960.0;226718.0;242870.0
"ALB";"Albania";"2016";3369760.0;248640.0;266379.0
"ALB";"Albania";"2017";3625700.0;246720.0;303612.0
"ALB";"Albania";"2018";2714880.0;248631.0;361947.0
"ALB";"Albania";"2019";2630080.0;242859.0;436192.0
"ALB";"Albania";"2020";2618880.0;223469.0;508937.0
"AND";"Andorra";"2002";32790.0;34922.0;1148.0
"AND";"Andorra";"2003";51893.0;35171.0;3601.0
"AND";"Andorra";"2004";58366.0;35040.0;6282.0
"AND";"Andorra";"2005";64560.0;35444.0;10341.0
"AND";"Andorra";"2006";69004.0;36507.0;14616.0
"AND";"Andorra";"2007";63503.0;37153.0;18526.0
"AND";"Andorra";"2008";64202.0;37375.0;20672.0
"AND";"Andorra";"2009";64549.0;37882.0;22941.0
"AND";"Andorra";"2010";65495.0;38171.0;24502.0
"AND";"Andorra";"2011";65044.0;38401.0;25763.0
"AND";"Andorra";"2012";63865.0;38320.0;26905.0
"AND";"Andorra";"2013";63931.0;38572.0;27734.0
"AND";"Andorra";"2014";66241.0;38237.0;28770.0
"AND";"Andorra";"2015";71336.0;38850.0;30694.0
"AND";"Andorra";"2016";76132.0;38694.0;32490.0
"AND";"Andorra";"2017";80337.0;38411.0;34284.0
"AND";"Andorra";"2018";82614.0;39375.0;35663.0
"AND";"Andorra";"2019";87909.0;39657.0;36358.0
"AND";"Andorra";"2020";94000.0;40000.0;37000.0
"ARE";"UnitedNULLArabNULLEmirates";"1999";832267.0;975178.0;367.0
"ARE";"UnitedNULLArabNULLEmirates";"2000";1428120.0;1020100.0;1973.0
"ARE";"UnitedNULLArabNULLEmirates";"2001";1909300.0;1052930.0;8374.0
"ARE";"UnitedNULLArabNULLEmirates";"2002";2428070.0;1093650.0;16632.0
"ARE";"UnitedNULLArabNULLEmirates";"2003";2972330.0;1135760.0;30327.0
"ARE";"UnitedNULLArabNULLEmirates";"2004";3683120.0;1187730.0;56146.0
"ARE";"UnitedNULLArabNULLEmirates";"2005";4534140.0;1236860.0;129320.0
"ARE";"UnitedNULLArabNULLEmirates";"2006";5519290.0;1309680.0;240620.0
"ARE";"UnitedNULLArabNULLEmirates";"2007";7731510.0;1385520.0;379800.0
"ARE";"UnitedNULLArabNULLEmirates";"2008";9357740.0;1595990.0;557577.0
"ARE";"UnitedNULLArabNULLEmirates";"2009";10700000.0;1580150.0;690424.0
"ARE";"UnitedNULLArabNULLEmirates";"2010";10926000.0;1479480.0;786818.0
"ARE";"UnitedNULLArabNULLEmirates";"2011";11727400.0;1825500.0;866968.0
"ARE";"UnitedNULLArabNULLEmirates";"2012";13775300.0;1967490.0;954988.0
"ARE";"UnitedNULLArabNULLEmirates";"2013";16063500.0;2086020.0;1041930.0
"ARE";"UnitedNULLArabNULLEmirates";"2014";16819000.0;2103040.0;1091760.0
"ARE";"UnitedNULLArabNULLEmirates";"2015";17942600.0;2258650.0;1234450.0
"ARE";"UnitedNULLArabNULLEmirates";"2016";19905100.0;2285810.0;1297580.0
"ARE";"UnitedNULLArabNULLEmirates";"2017";19826200.0;2320840.0;2761830.0
"ARE";"UnitedNULLArabNULLEmirates";"2018";20081000.0;2341390.0;3024560.0
"ARE";"UnitedNULLArabNULLEmirates";"2019";19602800.0;2362600.0;3045960.0
"ARE";"UnitedNULLArabNULLEmirates";"2020";18374300.0;2380870.0;3245120.0
"ARG";"Argentina";"2001";6741790.0;8131440.0;94000.0
"ARG";"Argentina";"2002";6566740.0;7708570.0;148000.0
"ARG";"Argentina";"2003";7842230.0;8603870.0;258849.0
"ARG";"Argentina";"2004";13512400.0;8760570.0;542879.0
"ARG";"Argentina";"2005";22156400.0;9441670.0;926722.0
"ARG";"Argentina";"2006";31510400.0;9459790.0;1583710.0
"ARG";"Argentina";"2007";40401800.0;9500000.0;2600000.0
"ARG";"Argentina";"2008";46508800.0;9742830.0;3114740.0
"ARG";"Argentina";"2009";52482800.0;9768140.0;3511030.0
"ARG";"Argentina";"2010";57082300.0;9914210.0;4028240.0
"ARG";"Argentina";"2011";60722700.0;9722520.0;4572020.0
"ARG";"Argentina";"2012";64327600.0;9455640.0;5148580.0
"ARG";"Argentina";"2013";67361500.0;9662080.0;6251020.0
"ARG";"Argentina";"2014";61234200.0;9822460.0;6519460.0
"ARG";"Argentina";"2015";61842000.0;10073100.0;6855840.0
"ARG";"Argentina";"2016";63719800.0;10164800.0;7251670.0
"ARG";"Argentina";"2017";61897400.0;9744370.0;7842780.0
"ARG";"Argentina";"2018";58598000.0;9764010.0;8473660.0
"ARG";"Argentina";"2019";56352900.0;7757240.0;8793180.0
"ARG";"Argentina";"2020";54763900.0;7356160.0;9571560.0
"ARM";"Armenia";"2001";25504.0;531456.0;6.0
"ARM";"Armenia";"2002";71349.0;542846.0;8.0
"ARM";"Armenia";"2003";114379.0;563679.0;10.0
"ARM";"Armenia";"2004";203309.0;578973.0;1000.0
"ARM";"Armenia";"2005";318044.0;594404.0;1990.0
"ARM";"Armenia";"2007";1876410.0;624700.0;3900.0
"ARM";"Armenia";"2008";1442000.0;626600.0;13799.0
"ARM";"Armenia";"2009";2191500.0;599900.0;39888.0
"ARM";"Armenia";"2010";3865350.0;592300.0;93586.0
"ARM";"Armenia";"2011";3211220.0;586943.0;160573.0
"ARM";"Armenia";"2012";3322840.0;583685.0;212053.0
"ARM";"Armenia";"2013";3346280.0;578450.0;243058.0
"ARM";"Armenia";"2014";3459140.0;572772.0;272885.0
"ARM";"Armenia";"2015";3464490.0;551366.0;286319.0
"ARM";"Armenia";"2016";3434570.0;531624.0;299170.0
"ARM";"Armenia";"2017";3488520.0;501013.0;315319.0
"ARM";"Armenia";"2018";3579260.0;477932.0;347448.0
"ARM";"Armenia";"2019";3618750.0;451571.0;385704.0
"ARM";"Armenia";"2020";3488800.0;427539.0;430407.0
"ATG";"AntiguaNULLandNULLBarbuda";"2004";54000.0;38000.0;1662.0
"ATG";"AntiguaNULLandNULLBarbuda";"2005";86000.0;36480.0;5801.0
"ATG";"AntiguaNULLandNULLBarbuda";"2006";110177.0;37500.0;1541.0
"ATG";"AntiguaNULLandNULLBarbuda";"2007";112381.0;37900.0;2266.0
"ATG";"AntiguaNULLandNULLBarbuda";"2008";136592.0;38000.0;4986.0
