"Code";"Country_name";"Year";"Mobile_vs_Internet"
"BDI";"Burundi";"2020";5.772743100896665
"ZMB";"Zambia";"2020";5.097593450899087
"TCD";"Chad";"2020";5.018428121660264
"MAC";"Macao";"2020";4.687743891079188
"BFA";"Burkina Faso";"2020";4.671022897667994
"SLE";"Sierra Leone";"2020";4.644833076943837
"MLI";"Mali";"2020";4.353207609463854
"BGD";"Bangladesh";"2020";4.245599946050616
"MMR";"Myanmar";"2020";4.18890776737861
"GNB";"Guinea-Bissau";"2020";4.145901344592063
"GIN";"Guinea";"2020";4.017953363197353
"KEN";"Kenya";"2020";4.004284093428448
"LKA";"Sri Lanka";"2020";3.911763777124001
"TZA";"Tanzania";"2020";3.7731270718232044
"TLS";"Timor";"2020";3.6424098398356857
"NPL";"Nepal";"2020";3.4536893098586456
"BEN";"Benin";"2020";3.415442438809045
"CAF";"Central African Republic";"2020";3.295097485216152
"COD";"Democratic Republic of Congo";"2020";3.23078872347165
"TGO";"Togo";"2020";3.216092033441581
"AFG";"Afghanistan";"2020";3.1625084194569992
"HKG";"Hong Kong";"2020";3.1543003547383317
"UGA";"Uganda";"2020";3.1334733582903675
"PAK";"Pakistan";"2020";3.092015380498317
"RWA";"Rwanda";"2020";3.046796735738951
"MOZ";"Mozambique";"2020";3.005825740949885
"SLV";"El Salvador";"2020";2.8955854618268178
"ZWE";"Zimbabwe";"2020";2.873251277985542
"GMB";"Gambia";"2020";2.8503627415083574
"NAM";"Namibia";"2020";2.839818525668035
"SDN";"Sudan";"2020";2.788600042785494
"NGA";"Nigeria";"2020";2.761485744264849
"SEN";"Senegal";"2020";2.7248603571372465
"MRT";"Mauritania";"2020";2.687419296840522
"PHL";"Philippines";"2020";2.6772160920404287
"IDN";"Indonesia";"2020";2.4347528412980965
"STP";"Sao Tome and Principe";"2020";2.414322144302464
"GTM";"Guatemala";"2020";2.350201414221746
"BWA";"Botswana";"2020";2.349763760201264
"ZAF";"South Africa";"2020";2.331295825700778
"MUS";"Mauritius";"2020";2.271593737531113
"SYR";"Syria";"2020";2.2415653540425486
"CMR";"Cameroon";"2020";2.231994487497004
"MDV";"Maldives";"2020";2.2168997726598794
"MNE";"Montenegro";"2020";2.212374335318842
"SYC";"Seychelles";"2020";2.200717189767453
"GHA";"Ghana";"2020";2.1678257235622516
"GAB";"Gabon";"2020";2.1454411143942593
"LCA";"Saint Lucia";"2020";2.124808976532898
"MNG";"Mongolia";"2020";2.119477794614757
"SUR";"Suriname";"2020";2.1145394439846514
"PAN";"Panama";"2020";2.111403874381603
"THA";"Thailand";"2020";2.0901413209727657
