"Code";"Country_name";"Internet_users";"max_internet_users_year";"Urban_population";"Electricity_access_urban";"GDP"
"AFG";"Afghanistan";18.39999962;"2020";26.02599907;99.5;1970.56
"AGO";"Angola";36.0;"2020";66.82499695;73.70891571;6110.27
"ALB";"Albania";72.23999786;"2020";62.11199951;100.0;13192.0
"ARE";"United Arab Emirates";100.0;"2020";87.04799652;100.0;63299.4
"ARG";"Argentina";85.5;"2020";92.11100006;100.0;19690.7
"ARM";"Armenia";76.51000214;"2020";63.31299973;99.95941162;12619.9
"AUS";"Australia";89.59999847;"2020";86.24099731;100.0;48678.7
"AZE";"Azerbaijan";84.59999847;"2020";56.39699936;100.0;13726.8
"BDI";"Burundi";9.399999619;"2020";13.70800018;63.67844009;731.06
"BEL";"Belgium";91.52641296;"2020";98.07900238;100.0;48769.7
"BEN";"Benin";25.79999924;"2020";48.41500092;66.14538574;3323.14
"BFA";"Burkina Faso";22.0;"2020";30.60700035;65.75390625;2155.77
"BGD";"Bangladesh";24.79999924;"2020";38.17699814;97.80000305;4871.45
"BGR";"Bulgaria";70.16000366;"2020";75.68599701;99.80000305;22379.1
"BIH";"Bosnia and Herzegovina";73.20999908;"2020";49.02000046;100.0;14509.3
"BLR";"Belarus";85.08999634;"2020";79.48300171;100.0;19186.8
"BOL";"Bolivia";59.94010162;"2020";70.1230011;100.0;7845.17
"BRA";"Brazil";81.34269714;"2020";87.07299805;100.0;14064.0
"BTN";"Bhutan";53.5;"2020";42.31600189;100.0;10551.5
"BWA";"Botswana";64.0;"2020";70.8769989;90.7364502;14654.7
"CAF";"Central African Republic";10.39999962;"2020";42.19800186;33.56291962;936.29
"CAN";"Canada";96.97000122;"2020";81.56199646;100.0;46064.2
"CHE";"Switzerland";94.19999695;"2020";73.91500092;100.0;68755.4
"CHL";"Chile";88.30000305;"2020";87.72699738;100.0;23324.5
"CHN";"China";70.40477753;"2020";61.4280014;100.0;16315.8
"CMR";"Cameroon";37.79999924;"2020";57.56000137;94.02661133;3666.41
"COD";"Democratic Republic of Congo";13.60000038;"2020";45.63800049;40.65993118;1082.45
"COL";"Colombia";69.79000092;"2020";81.42500305;100.0;13448.9
"CPV";"Cape Verde";64.5;"2020";66.65200043;94.48597717;6045.06
"CUB";"Cuba";74.0;"2020";77.19400024;100.0;0.0
"CYP";"Cyprus";90.80194855;"2020";66.82099915;100.0;38816.1
"CZE";"Czechia";81.33889771;"2020";74.06099701;100.0;38511.3
"DEU";"Germany";89.8129425;"2020";77.45300293;100.0;51423.2
"DJI";"Djibouti";59.0;"2020";78.06199646;72.15770721;5481.11
"DOM";"Dominican Republic";76.90000153;"2020";82.54000092;100.0;17003.0
"DZA";"Algeria";62.90000153;"2020";73.73300171;99.88401031;10735.4
"ECU";"Ecuador";64.59999847;"2020";64.16600037;99.66000366;10329.2
"EGY";"Egypt";71.91419983;"2020";42.78300095;100.0;11951.5
"ESP";"Spain";93.20565033;"2020";80.80999756;100.0;36210.9
"ETH";"Ethiopia";24.0;"2020";21.69499969;93.2479248;2296.83
"FIN";"Finland";92.16999817;"2020";85.51699829;100.0;47154.4
"FRA";"France";84.80000305;"2020";80.97499847;100.0;42320.5
"GAB";"Gabon";62.0;"2020";90.09200287;98.58896637;14320.8
"GBR";"United Kingdom";94.81819916;"2020";83.90299988;100.0;42675.8
"GEO";"Georgia";72.53158569;"2020";59.45299911;100.0;13966.3
"GHA";"Ghana";58.0;"2020";57.34899902;94.71047974;5445.73
"GIN";"Guinea";26.0;"2020";36.875;88.08341217;2670.82
"GMB";"Gambia";36.5;"2020";62.58200073;80.63490295;2156.75
"GNB";"Guinea-Bissau";22.89999962;"2020";44.19599915;56.27449417;1847.47
"GRC";"Greece";78.11584473;"2020";79.71499634;100.0;27072.6
"GTM";"Guatemala";49.97000122;"2020";51.83599854;97.45913696;8393.28
"HKG";"Hong Kong";92.41313934;"2020";100.0;100.0;56154.0
"HND";"Honduras";42.04999924;"2020";58.35900116;100.0;5138.39
"HTI";"Haiti";34.5;"2020";57.08800125;80.5447464;2934.25
"HUN";"Hungary";84.77114868;"2020";71.94200134;100.0;31098.4
"IDN";"Indonesia";53.72649384;"2020";56.64099884;99.59999847;11445.0
"IND";"India";43.0;"2020";34.92599869;100.0;6165.75
"IRL";"Ireland";91.99989319;"2020";63.65299988;100.0;90789.2
"IRN";"Iran";84.11087036;"2020";75.87400055;100.0;12644.5
"ISR";"Israel";90.12734222;"2020";92.58699799;100.0;39056.4
"KAZ";"Kazakhstan";85.94259644;"2020";57.67100143;100.0;25363.2
"KEN";"Kenya";29.5;"2020";27.99500084;93.98622131;4339.86
"KOR";"South Korea";96.50505829;"2020";81.41400146;100.0;42335.9
"LAO";"Laos";33.79999924;"2020";36.29000092;100.0;7810.73
"LBN";"Lebanon";84.09999847;"2020";88.92500305;100.0;11488.4
"LBR";"Liberia";25.60000038;"2020";52.0890007;45.17257309;1392.0
"LKA";"Sri Lanka";35.0;"2020";18.71299934;100.0;12536.9
